transaction_id,customer_id,age,gender,city,category,payment_method,transaction_date,amount,is_returning_customer
3941,1160,32,Female,Hyderabad,Electronics,Credit Card,2025-01-01,6392.97,1
2232,1111,24,Male,Bangalore,Fashion,Credit Card,2025-01-01,2827.5,1
3978,1458,45,Female,Bangalore,Grocery,Debit Card,2025-01-01,1060.31,1
3929,1684,47,Male,Chennai,Grocery,Debit Card,2025-01-02,845.68,0
1427,1796,64,Female,Pune,Grocery,UPI,2025-01-02,1075.55,0
3642,1503,21,Male,Mumbai,Beauty,UPI,2025-01-02,1081.74,1
2588,1611,42,Male,Chennai,Fashion,UPI,2025-01-03,3007.7,1
2495,1612,40,Female,Delhi,Home & Furniture,UPI,2025-01-03,2938.82,1
389,1093,54,Female,Chennai,Grocery,UPI,2025-01-03,1098.83,1
1166,2067,24,Male,Mumbai,Grocery,UPI,2025-01-03,745.24,1
2876,2122,31,Male,Mumbai,Electronics,UPI,2025-01-03,10866.24,0
1513,2189,25,Male,Kolkata,Electronics,UPI,2025-01-04,5951.9,0
3603,1053,31,Female,Bangalore,Electronics,UPI,2025-01-04,8757.27,0
283,1992,50,Male,Bangalore,Grocery,UPI,2025-01-04,843.24,1
1443,1933,49,Male,Kolkata,Home & Furniture,UPI,2025-01-04,6834.9,1
2806,2006,22,Male,Bangalore,Grocery,Debit Card,2025-01-04,856.22,0
2290,1997,24,Female,Chennai,Fashion,UPI,2025-01-04,2030.55,1
361,2081,46,Male,Kolkata,Home & Furniture,UPI,2025-01-05,6375.82,1
48,1897,29,Male,Chennai,Electronics,UPI,2025-01-05,7457.59,0
1424,1396,40,Male,Mumbai,Fashion,Net Banking,2025-01-05,3575.37,0
3555,1595,64,Female,Delhi,Grocery,Debit Card,2025-01-05,1677.12,0
1668,2035,30,Male,Kolkata,Home & Furniture,UPI,2025-01-05,6028.67,0
844,1512,37,Male,Kolkata,Books,Debit Card,2025-01-05,928.45,1
3167,1615,61,Male,Kolkata,Fashion,UPI,2025-01-05,2835.92,1
2221,1514,23,Male,Chennai,Home & Furniture,UPI,2025-01-05,8520.47,1
2506,2132,58,Male,Kolkata,Grocery,Debit Card,2025-01-05,1248.24,1
92,1418,63,Female,Mumbai,Electronics,Credit Card,2025-01-05,6871.77,1
469,1075,50,Female,Ahmedabad,Sports,Debit Card,2025-01-05,4375.47,0
2170,1984,37,Male,Chennai,Beauty,UPI,2025-01-06,2871.89,1
2141,1961,41,Female,Chennai,Grocery,COD,2025-01-06,1469.2,1
1775,1398,46,Male,Mumbai,Electronics,UPI,2025-01-06,10449.13,0
942,2052,64,Female,Bangalore,Grocery,COD,2025-01-06,1895.35,1
1246,1271,24,Male,Chennai,Electronics,UPI,2025-01-06,8928.6,1
2778,1276,34,Male,Pune,Home & Furniture,Credit Card,2025-01-06,3253.24,0
2898,2017,24,Female,Pune,Grocery,Credit Card,2025-01-06,1192.07,1
941,1050,59,Female,Kolkata,Grocery,UPI,2025-01-07,1205.34,1
1648,1304,35,Female,Mumbai,Home & Furniture,UPI,2025-01-07,4504.75,0
2385,1852,43,Male,Hyderabad,Home & Furniture,COD,2025-01-07,6441.4,1
2185,1301,43,Male,Bangalore,Sports,Credit Card,2025-01-07,2852.16,0
3695,1962,59,Female,Pune,Books,COD,2025-01-07,580.59,1
1552,1908,44,Male,Hyderabad,Home & Furniture,Credit Card,2025-01-07,5352.25,1
2351,1925,29,Male,Bangalore,Grocery,COD,2025-01-07,707.77,1
1011,2009,55,Male,Hyderabad,Grocery,UPI,2025-01-07,943.78,1
3688,1924,26,Female,Mumbai,Grocery,UPI,2025-01-08,1009.41,1
3039,1939,34,Female,Mumbai,Home & Furniture,Credit Card,2025-01-08,9752.81,0
1095,1609,18,Male,Mumbai,Beauty,Credit Card,2025-01-08,1852.92,1
1679,1150,57,Female,Hyderabad,Electronics,Credit Card,2025-01-08,8068.21,1
1999,1845,44,Female,Hyderabad,Fashion,UPI,2025-01-08,1432.99,1
1573,1902,55,Female,Pune,Electronics,UPI,2025-01-08,9118.53,1
2269,1582,37,Male,Delhi,Home & Furniture,UPI,2025-01-09,4364.88,1
1333,1317,21,Male,Ahmedabad,Fashion,Debit Card,2025-01-09,2686.18,0
1962,2090,24,Female,Pune,Electronics,COD,2025-01-09,11789.35,1
1132,2136,59,Female,Mumbai,Beauty,Debit Card,2025-01-09,984.5,1
253,1229,39,Female,Mumbai,Electronics,Debit Card,2025-01-09,10239.4,1
989,1341,54,Male,Pune,Fashion,Credit Card,2025-01-09,1936.19,1
2103,1199,64,Female,Hyderabad,Fashion,Debit Card,2025-01-10,1320.83,1
623,2108,33,Male,Delhi,Grocery,Net Banking,2025-01-10,757.91,0
2344,1611,38,Male,Mumbai,Electronics,Credit Card,2025-01-10,10075.77,0
1295,1689,41,Male,Delhi,Sports,Credit Card,2025-01-10,4570.43,1
793,1005,47,Male,Delhi,Grocery,Net Banking,2025-01-10,1119.54,1
2612,2011,51,Male,Hyderabad,Fashion,UPI,2025-01-11,4062.73,1
1149,1153,59,Female,Chennai,Electronics,Net Banking,2025-01-11,7441.95,1
477,2092,41,Male,Mumbai,Books,COD,2025-01-11,650.24,0
3016,1407,28,Female,Kolkata,Electronics,UPI,2025-01-11,5796.15,1
2515,1352,32,Female,Kolkata,Home & Furniture,Debit Card,2025-01-11,9719.67,1
2784,2053,59,Male,Hyderabad,Sports,UPI,2025-01-11,2406.77,1
2533,1155,30,Male,Hyderabad,Electronics,UPI,2025-01-11,4983.5,0
1998,1542,18,Male,Delhi,Home & Furniture,Credit Card,2025-01-11,6197.54,0
1091,1665,63,Female,Delhi,Grocery,Debit Card,2025-01-11,1640.09,1
203,1143,49,Female,Ahmedabad,Books,Credit Card,2025-01-11,938.21,1
3266,2062,54,Female,Delhi,Books,Credit Card,2025-01-12,730.94,1
3982,1507,38,Male,Kolkata,Electronics,Credit Card,2025-01-12,12815.79,0
3301,2040,32,Female,Mumbai,Books,Debit Card,2025-01-12,613.55,1
847,1269,21,Male,Kolkata,Electronics,COD,2025-01-12,9096.18,1
1490,1101,35,Female,Delhi,Beauty,Debit Card,2025-01-12,2032.16,0
3032,2119,37,Male,Delhi,Sports,Debit Card,2025-01-12,3260.13,0
1607,1333,36,Male,Kolkata,Fashion,Net Banking,2025-01-13,1808.16,1
3739,1652,38,Female,Bangalore,Sports,UPI,2025-01-13,1932.08,0
1503,1935,33,Male,Kolkata,Fashion,UPI,2025-01-13,1915.76,1
445,1675,52,Male,Ahmedabad,Beauty,UPI,2025-01-13,1879.25,1
